sic,ff48_ind
0100,Agriculture
0101,Agriculture
0102,Agriculture
0103,Agriculture
0104,Agriculture
0105,Agriculture
0106,Agriculture
0107,Agriculture
0108,Agriculture
0109,Agriculture
0110,Agriculture
0111,Agriculture
0112,Agriculture
0113,Agriculture
0114,Agriculture
0115,Agriculture
0116,Agriculture
0117,Agriculture
0118,Agriculture
0119,Agriculture
0120,Agriculture
0121,Agriculture
0122,Agriculture
0123,Agriculture
0124,Agriculture
0125,Agriculture
0126,Agriculture
0127,Agriculture
0128,Agriculture
0129,Agriculture
0130,Agriculture
0131,Agriculture
0132,Agriculture
0133,Agriculture
0134,Agriculture
0135,Agriculture
0136,Agriculture
0137,Agriculture
0138,Agriculture
0139,Agriculture
0140,Agriculture
0141,Agriculture
0142,Agriculture
0143,Agriculture
0144,Agriculture
0145,Agriculture
0146,Agriculture
0147,Agriculture
0148,Agriculture
0149,Agriculture
0150,Agriculture
0151,Agriculture
0152,Agriculture
0153,Agriculture
0154,Agriculture
0155,Agriculture
0156,Agriculture
0157,Agriculture
0158,Agriculture
0159,Agriculture
0160,Agriculture
0161,Agriculture
0162,Agriculture
0163,Agriculture
0164,Agriculture
0165,Agriculture
0166,Agriculture
0167,Agriculture
0168,Agriculture
0169,Agriculture
0170,Agriculture
0171,Agriculture
0172,Agriculture
0173,Agriculture
0174,Agriculture
0175,Agriculture
0176,Agriculture
0177,Agriculture
0178,Agriculture
0179,Agriculture
0180,Agriculture
0181,Agriculture
0182,Agriculture
0183,Agriculture
0184,Agriculture
0185,Agriculture
0186,Agriculture
0187,Agriculture
0188,Agriculture
0189,Agriculture
0190,Agriculture
0191,Agriculture
0192,Agriculture
0193,Agriculture
0194,Agriculture
0195,Agriculture
0196,Agriculture
0197,Agriculture
0198,Agriculture
0199,Agriculture
0200,Agriculture
0201,Agriculture
0202,Agriculture
0203,Agriculture
0204,Agriculture
0205,Agriculture
0206,Agriculture
0207,Agriculture
0208,Agriculture
0209,Agriculture
0210,Agriculture
0211,Agriculture
0212,Agriculture
0213,Agriculture
